artist,song,year
Jackie Brenston and His Delta Cats,Rocket 88,1951
The Chords,Sh-Boom,1954
Joan Weber,"Let Me Go, Lover!",1955
The Penguins,Earth Angel,1955
DeJohn Sisters,(My Baby Don't Love Me) No More,1955
Johnny Ace,Pledging My Love,1955
Priscilla Wright,The Man in The Raincoat,1955
Lillian Briggs,I Want You to Be My Baby,1955
The El Dorados,At My Front Door (Crazy Little Mamma),1955
Bonnie Lou,Daddy-O,1955
Steve Allen,Autumn Leaves,1955
Julie London,Cry Me A River,1955
Barry Gordon,Nuttin' for Christmas,1955
Joe Ward,Nuttin' for Christmas,1955
Kit Carson,Band of Gold,1956
The Turbans,When You Dance,1956
Bobby Scott,Chain Gang,1956
The Bonnie Sisters,Cry Baby,1956
The Teen Queens,Eddie My Love,1956
Carl Perkins,Blue-Suede Shoes,1956
Don Robertson,The Happy Whistler,1956
Cathy Carr,Ivory Tower,1956
The Rover Boys,Graduation Day,1956
The Cadets,Stranded in the Jungle,1956
Sanford Clark,The Fool,1956
Jane Powell,True Love,1956
Eddie Cooley & The Dimples,Priscilla,1956
The Highlights,City of Angels,1956
Sonny Knight,Confidential,1956
Joe Valino,Garden of Eden,1956
Sil Austin,Slow Walk,1956
Jerry Lewis,Rock-a-Bye Your Baby With a Dixie Melody,1956
Ivory Joe Hunter,Since I Met You Baby,1956
Mickey & Sylvia,Love Is Strange,1957
Kenneth Copeland,Pledge of Love,1957
Randy Starr,After School,1957
Dale Hawkins,Susie Q,1957
Russ Hamilton,Rainbow,1957
The Bobbettes,Mr. Lee,1957
Anthony Perkins,Moonlight Swim,1957
The Rays,Silhouettes B/W Daddy Cool,1957
Thurston Harris,Little Bitty Pretty One,1957
Bill Justis,Raunchy,1957
Margie Rayburn,I'm Available,1957
Ernie Freeman,Raunchy,1957
The Royal Teens,Short Shorts,1958
The Hollywood Flames,Buzz-Buzz-Buzz,1958
The Silhouettes,Get a Job,1958
The Champs,Tequila,1958
The Crescendos,Oh Julie,1958
The Monotones,The Book of Love,1958
Ronald & Ruby,Lollipop,1958
Laurie London,He's Got the Whole World in His Hands,1958
The Voxpoppers,Wishing For Your Love,1958
Ed Townsend,For Your Love,1958
The Pets,Cha-Hua-Hua,1958
Sheb Wooley,The Purple People Eater,1958
The Kalin Twins,When,1958
Gino & Gina,(It's Been a Long Long Time) Pretty Baby,1958
Jan & Arnie,Jennie Lee,1958
Jody Reynolds,Endless Sleep,1958
The Big Bopper,Chantilly Lace,1958
The Danleers,One Summer Night,1958
The Elegants,Little Star,1958
The Poni-Tails,Born Too Late,1958
The Jamies,"Summertime, Summertime",1958
Bobby Hendricks,Itchy Twitchy Feeling,1958
Bobby Day,Rockin' Robin,1958
The Teddy Bears,To Know Him is to Love Him,1958
Jesse Lee Turner,The Little Space Girl,1959
The Bell Notes,I've Had It,1959
Gene Allison,You Can Make It If You Try,1959
Frankie Ford,Sea Cruise,1959
The Mystics,Hushabye,1959
Dodie Stevens,Pink Shoe Laces,1959
Travis & Bob,Tell Him No,1959
The Impalas,Sorry (I Ran All the Way Home),1959
Wilbert Harrison,Kansas City,1959
The Fiestas,So Fine,1959
The Falcons,You're So Fine,1959
Jerry Keller,Here Comes Summer,1959
Phil Phillips,Sea of Love,1959
The Tempos,See You in September,1959
Santo & Johnny,Sleep Walk,1959
The Fireflies,You Were Mine,1959
Wink Martindale,The Deck of Cards,1959
The Islanders,Enchanted Sea,1959
The Rock-A-Teens,Woo-Hoo,1959
Hugo & Luigi,Just Come Home,1959
Larry Hall,Sandy,1960
Mark Dinning,Teen Angel,1960
Barrett Strong,Money (That's What I Want),1960
The Hollywood Argyles,Alley-Oop,1960
The Safaris,Image of a Girl,1960
Larry Verne,Mr. Custer,1960
Maurice Williams and the Zodiacs,Stay,1960
Jørgen Ingmann and his Guitar,Apache,1961
Ernie K-Doe,Mother-In-Law,1961
Shep & The Limelites,Daddy's Home,1961
